,user id,name,registration,edit count
0,388660,b'Jakub Kun\xc4\x8dick\xc3\xbd',b'20171101002641',0
1,388661,b'Raymond corsten',b'20171101003725',0
2,388662,b'Yams17',b'20171101010045',0
3,388663,b'Erickmacr',b'20171101013318',0
4,388664,b'Nirajjvyas',b'20171101060813',0
5,388665,b'Kaemdotnet',b'20171101060839',0
6,388666,b'24viko',b'20171101070349',0
7,388667,b'Okapoun',b'20171101071318',1
8,388668,b'Adriana palade',b'20171101075017',0
9,388669,b'Paulinasz',b'20171101080851',0
10,388670,b'JohnyJahoda22',b'20171101081121',0
11,388671,b'DAGMAR1',b'20171101081611',6
12,388672,b'Jasiok K.',b'20171101081906',48
13,388673,b'\xc4\x8cambus',b'20171101085316',0
14,388674,b'Julesea007',b'20171101092740',0
15,388675,b'Tini15',b'20171101092833',0
16,388676,b'Glikyupejrot',b'20171101094102',0
17,388677,b'Standadick123',b'20171101095922',0
18,388678,b'Zuzanavodakova',b'20171101100013',0
19,388679,b'Natyynkaa',b'20171101100018',1
20,388680,b'Dvormaru',b'20171101100128',0
21,388681,b'Ferisbea',b'20171101100302',0
22,388682,b'The badass wolverine',b'20171101100607',2
23,388683,b'BlackPonix',b'20171101103426',0
24,388684,b'Bramley',b'20171101104146',0
25,388685,b'Inabra',b'20171101104605',0
26,388686,b'Freakymovie',b'20171101105013',0
27,388687,b'Ondrejr',b'20171101105116',2
28,388688,b'Simona.pumputyte',b'20171101105755',0
29,388689,b'Changzhensky',b'20171101105837',0
30,388690,b'Her0SVK',b'20171101113550',0
31,388691,b'*Herobrine master*',b'20171101113707',0
32,388692,b'Hugo131',b'20171101114218',0
33,388693,b'Wybo79',b'20171101120112',0
34,388694,b'Matas011',b'20171101120654',0
35,388695,b'Donald Trung',b'20171101121750',0
36,388696,b'Akademiemodernizeny',b'20171101123838',0
37,388697,b'Alena Minxova',b'20171101124102',1
38,388698,b'Bejcok',b'20171101124430',52
39,388699,b'Cofrade2016',b'20171101124603',5
40,388700,b'Susan.nls',b'20171101124839',0
41,388701,b'Malvip',b'20171101124854',0
42,388702,b'EasyHelp',b'20171101125456',3
43,388703,b'Ricardosdag',b'20171101130226',0
44,388704,b'1.Bar.Bora.1',b'20171101130343',20
45,388705,b'Sterbasimon',b'20171101130614',0
46,388706,b'Chiriaev',b'20171101131205',0
47,388707,b'Andrej dini',b'20171101132638',0
48,388708,b'Dopiciprace',b'20171101133439',1
49,388709,b'Marianne1921',b'20171101134946',0
50,388710,b'Tronje07',b'20171101135047',0
51,388711,b'Jakub Holzer (WMCZ)',b'20171101135734',97
52,388712,b'Ond\xc5\x99ej F\xc3\xa1bera',b'20171101140128',12
53,388713,b'NAbPdj',b'20171101140539',0
54,388714,b'Fredmadisonband',b'20171101140903',0
55,388715,b'Bauerova',b'20171101143741',2
56,388716,b'\xd7\x93\xd7\x95\xd7\x93 \xd7\x99\xd7\xa6\xd7\x97\xd7\xa7',b'20171101144254',0
57,388717,b'Mathiasdestefani',b'20171101151804',1
58,388718,b'Duncan999',b'20171101151933',0
59,388719,b'Vrumfondel',b'20171101153053',0
60,388720,b'Paponcar',b'20171101153354',0
61,388721,b'Bub\xc3\xa1k stra\xc5\xa1\xc3\xad na h\xc5\x99bitov\xc4\x9b',b'20171101154138',2
62,388722,b'Eliss Angel',b'20171101154610',0
63,388723,b'Ing. V\xc3\xa1clav Vojt\xc4\x9bch',b'20171101154909',1
64,388724,b'Maria Cavina',b'20171101155703',0
65,388725,b'Kuklish',b'20171101163126',0
66,388726,b'Ajmeelurrahman',b'20171101163832',0
67,388727,b'Matvey',b'20171101164726',0
68,388728,b'Writer 2403',b'20171101165241',0
69,388729,b'Marketakosakova',b'20171101170204',0
70,388730,b'Pben2000',b'20171101170529',0
71,388731,b'M\xc3\xa1rakaktus\xc3\xa1\xc5\x99',b'20171101170925',0
72,388732,b'Isabell14',b'20171101171552',0
73,388733,b'Povstalec',b'20171101171725',0
