,user id,name,registration,edit count
0,104843,b'REA Cameron',b'20171101022401',0
1,104844,b'ImperatorPublius',b'20171101043438',0
2,104845,b'Mark437',b'20171101044158',0
3,104846,b'Mspzh',b'20171101061600',0
4,104847,b'\xd0\x9c\xd0\xb8\xd1\x82 \xd0\xa1\xd0\xba\xd0\xbe\xd0\xbb\xd0\xbe\xd0\xb2',b'20171101072321',0
5,104848,b'KRaes',b'20171101085917',6
6,104849,b'Tkvggang',b'20171101095302',0
7,104850,b'Valentino19901',b'20171101105118',0
8,104851,b'Aatomikk',b'20171101105557',0
9,104852,b'Aleksei kubarski',b'20171101120813',27
10,104853,b'Chrille97',b'20171101121022',0
11,104854,b'Donald Trung',b'20171101121328',0
12,104855,b'Kyrylkov',b'20171101121631',0
13,104856,b'Cofrade2016',b'20171101125315',0
14,104857,b'FPitois',b'20171101131847',0
15,104858,b'Kosovoworld',b'20171101132349',0
16,104859,b'Rudolf39',b'20171101133518',0
17,104860,b'VikipeediaPattiSmith',b'20171101150208',1
18,104861,b'Kaie Saks',b'20171101163714',3
19,104862,b'Liina132',b'20171101173051',0
20,104863,b'Smekhoved',b'20171101184607',0
21,104864,b'Bodrig Domsons',b'20171101190509',8
22,104865,b'Tomgoedert',b'20171101194534',0
23,104866,b'Donald Sassoon',b'20171101194555',0
24,104867,b'Estonians',b'20171101202043',0
25,104868,b'Svlp',b'20171101202900',0
26,104869,b'Ora\xc3\xb1ostad',b'20171101210032',0
27,104870,b'UKBot',b'20171101214249',0
28,104871,b'Loulou1888',b'20171101220452',1
29,104872,b'Lleas',b'20171101221105',22
30,104873,b'Egzoo',b'20171102005140',0
31,104874,b'Hongzhangfr',b'20171102032648',0
32,104875,b'Clarities',b'20171102052821',0
33,104876,b'\xd7\xa9\xd7\x9e\xd7\x95\xd7\x91\xd7\x91\xd7\x94',b'20171102075048',0
34,104877,b'Starnutoditopo',b'20171102080858',0
35,104878,b'Sanjeevfbd',b'20171102091141',0
36,104881,b'UserDude',b'20171102093809',0
37,104882,b'Mertnesvat',b'20171102093926',0
38,104883,b'Borisiliev',b'20171102094437',0
39,104884,b'34a67b',b'20171102110854',12
40,104885,b'Paoloesse-it',b'20171102111100',0
41,104886,b'\xd0\x90\xd0\xbd\xd0\xbd\xd0\xb0 \xd0\x93\xd1\x80\xd0\xb8\xd0\xb3\xd0\xbe\xd1\x80\xd0\xb5\xd0\xbd\xd0\xba\xd0\xbe',b'20171102112400',0
42,104887,b'\xe8\x8e\xab\xe6\x96\xaf\xe5\xae\xa2',b'20171102113913',0
43,104888,b'Ervini poeg',b'20171102114432',0
44,104889,b'VikipeediaHermannG\xc3\xb6ringI',b'20171102114645',0
45,104890,b'VikipeediaRudolf He\xc3\x9fI',b'20171102114749',0
46,104891,b'VikipeediaWolfR\xc3\xbcdigerHe\xc3\x9fI',b'20171102115024',0
47,104892,b'VikipeediaKaneBrown',b'20171102115135',0
48,104893,b'LilleMariliis',b'20171102130018',0
49,104894,b'Cuicuith',b'20171102130853',0
50,104895,b'Alp0ka',b'20171102131357',0
51,104896,b'Tugui41',b'20171102131732',0
52,104897,b'Saito0325',b'20171102140620',0
53,104898,b'Kaareltbdu',b'20171102145742',0
54,104899,b'Kadrisamuel',b'20171102150911',12
55,104900,b'Kukkoka',b'20171102154649',0
56,104901,b'Eugene Braslavsky',b'20171102154957',0
57,104902,b'\xd0\xa5\xd0\xb8\xd0\xbc\xd0\xb8\xd0\xba7',b'20171102155557',0
58,104903,b'Vainou',b'20171102160049',1
59,104904,b'Palosaar3m',b'20171102161629',2
60,104905,b'RiceKid',b'20171102180726',0
61,104906,b'Nirkenstain',b'20171102182132',0
62,104907,b'Mairisild',b'20171102183549',4
63,104908,b'Tukumsstacija2016',b'20171102185835',0
64,104909,b'Raigolorius',b'20171102200515',7
65,104910,b'Kraken1968',b'20171102204549',0
66,104911,b'AllarTaimsaare',b'20171102210008',4
67,104912,b'Yuriy Urban',b'20171102210302',1
68,104913,b'Anetplakso',b'20171102211318',3
69,104914,b'Simo Jarek Zaranek',b'20171102211748',6
70,104915,b'Jimrybka',b'20171102232613',0
