,user id,name,registration,edit count
0,361226,b'Hennpaul',b'20171101000204',0
1,361227,b'Pcullinan',b'20171101001853',0
2,361228,b'Hekantonkheires',b'20171101011500',0
3,361229,b'Isphoto',b'20171101015953',0
4,361230,b'BlackScorpio91',b'20171101023025',0
5,361231,b'Tom of lapland',b'20171101055915',1
6,361232,b'Ccntw211',b'20171101061101',0
7,361233,b'ChunksOfDeath',b'20171101062943',1
8,361234,b'AntekBogusz',b'20171101063109',0
9,361235,b'\xd5\x8f\xd5\xa1\xd5\xa9\xd6\x87\xd5\xab\xd5\xaf \xd5\x82\xd5\xa1\xd5\xa6\xd5\xa1\xd6\x80\xd5\xb5\xd5\xa1\xd5\xb6\xd5\xb6',b'20171101064234',0
10,361236,b'Saku kukkonen',b'20171101065355',1
11,361237,b'Ollimantyranta',b'20171101071731',0
12,361238,b'Woko12',b'20171101072442',0
13,361239,b'Teveti',b'20171101072654',1
14,361240,b'Manakeri M\xc3\xa4h\xc3\xb6nen',b'20171101073507',57
15,361241,b'Rokie72',b'20171101074545',1
16,361242,b'MarioKool',b'20171101075217',0
17,361243,b'Hemulinkakka',b'20171101075513',0
18,361244,b'Morkouuu',b'20171101080330',3
19,361245,b'Puskechina',b'20171101082407',0
20,361246,b'The Bartician',b'20171101085546',0
21,361247,b'Ninotnad',b'20171101085830',0
22,361248,b'Lukasiax',b'20171101090206',0
23,361249,b'\xd9\x83\xd8\xa7\xd9\x85\xd9\x84 \xd9\x8a\xd9\x85\xd9\x88\xd8\xaa',b'20171101090738',0
24,361250,b'Hovimestari72',b'20171101091112',0
25,361251,b'Viksupoeka',b'20171101094454',2
26,361252,b'Alessandro Tacchini',b'20171101094828',0
27,361253,b'Hejsansvejsan123',b'20171101100515',0
28,361254,b'Papu Ricco',b'20171101101023',1
29,361255,b'Smartinkaveri',b'20171101101407',0
30,361256,b'Szpryngiel',b'20171101102316',0
31,361257,b'Amosh~dewiki',b'20171101102717',0
32,361258,b'ApuaMultaOkeiKaikkialle',b'20171101104147',2
33,361259,b'Sussex Wolves',b'20171101105014',0
34,361260,b'Palipoika',b'20171101105909',1
35,361261,b'Freakymovie',b'20171101110343',0
36,361262,b'Moi112255',b'20171101110552',3
37,361263,b'Sekret123',b'20171101111747',1
38,361264,b'JuliusGranstrom',b'20171101112003',1
39,361265,b'Speedy~SY',b'20171101112645',0
40,361266,b'Konti Conti',b'20171101112750',0
41,361267,b'Moro moro osta poro',b'20171101114518',0
42,361268,b'Jlohtander',b'20171101120138',1
43,361269,b'Donald Trung',b'20171101121207',0
44,361270,b'Jenykvagner',b'20171101121739',0
45,361271,b'SOv',b'20171101122337',1
46,361272,b'Orlando57',b'20171101122829',12
47,361273,b'Kolosus',b'20171101124507',0
48,361274,b'Pahapoika',b'20171101130636',0
49,361275,b'Ribosome2012',b'20171101133020',0
50,361276,b'Ojplays',b'20171101133553',1
51,361277,b'Tougher Than the Rest',b'20171101142311',0
52,361278,b'6u1n2m1q5',b'20171101142847',150
53,361279,b'Sjarvi',b'20171101142953',0
54,361280,b'HannesMan',b'20171101150019',0
55,361281,b'VillePerttila27',b'20171101150255',0
56,361282,b'SanteriVainola48',b'20171101150800',1
57,361283,b'AbestWiki',b'20171101151058',0
58,361284,b'Kikeo',b'20171101151101',0
59,361285,b'Danangtrihartanto',b'20171101151848',0
60,361286,b'VikipeediaPattiSmith',b'20171101153144',0
61,361287,b'Princeps0406',b'20171101154120',0
62,361288,b'IHaa',b'20171101155055',1
63,361289,b'Mike78~dewiki',b'20171101155257',0
64,361290,b'Kyohyi',b'20171101160044',0
65,361291,b'Kuklish',b'20171101162850',0
66,361292,b'Mahamauno',b'20171101162851',3
67,361293,b'Medvejok',b'20171101163255',0
68,361294,b'Ajmeelurrahman',b'20171101163834',0
69,361295,b'SquallLeonhart ITA',b'20171101164339',0
70,361296,b'Anmatts',b'20171101164930',0
71,361297,b'\xd0\x94\xd0\xb5\xd0\xbd\xd0\xb8\xd1\x81 \xd0\xa6\xd1\x83\xd1\x80\xd0\xba\xd0\xb0\xd0\xbd',b'20171101171757',0
72,361298,b'TKWeckroth',b'20171101172511',0
73,361299,b'AntarcticCrystal',b'20171101173123',0
74,361300,b'Joeloliv8',b'20171101173820',0
75,361301,b'\xe0\xa4\xa1\xe0\xa5\x8b\xe0\xa4\x9f\xe0\xa5\x87\xe0\xa4\xb2',b'20171101173849',0
76,361302,b'Sofechufe',b'20171101174041',4
77,361303,b'Paddis',b'20171101174523',0
78,361304,b'Warheart85',b'20171101175134',2
79,361305,b'Miku99008899',b'20171101175412',0
80,361306,b'Beppeyeah',b'20171101180104',0
81,361307,b'ToSeeFromTheInsideOut',b'20171101181002',6
82,361308,b'Zoli79',b'20171101184307',0
83,361309,b'Taratuta539',b'20171101185840',0
84,361310,b'Goodsensetree',b'20171101191554',0
85,361311,b'Muthis None',b'20171101192816',2
86,361312,b'Aemilius 04',b'20171101193644',0
87,361313,b'Theinstantmatrix',b'20171101193909',0
88,361314,b'Ddd125ds',b'20171101194256',0
89,361315,b'Tomgoedert',b'20171101194614',0
90,361316,b'Jackdude101',b'20171101203330',0
91,361317,b'Rafaelgarutti',b'20171101204703',0
92,361318,b'Calsipher',b'20171101212507',0
93,361319,b'Sanjay ach',b'20171101212510',0
94,361320,b'Dharalion',b'20171101213111',0
95,361321,b'Yliruoja',b'20171101214851',10
96,361322,b'Pan Marchewka',b'20171101215616',0
97,361323,b'Shannon1',b'20171101223627',0
98,361324,b'\xd0\x98\xd0\xb7\xd0\xbe\xd1\x82 \xd0\xa4\xd0\xb5\xd0\xb4\xd0\xbe\xd1\x80\xd0\xbe\xd0\xb2',b'20171101223819',0
99,361325,b'\xe3\x82\xab\xe3\x83\x93\xe3\x83\xab',b'20171101230448',0
100,361326,b'Esandaas',b'20171101232141',0
101,361327,b'Avikpram',b'20171101234918',0
102,361328,b'RetiredProf',b'20171102013042',0
103,361329,b'Antero I. Vipunen',b'20171102014345',0
104,361330,b'AbinoamJr',b'20171102024335',0
105,361331,b'TheMartian123',b'20171102025841',0
106,361333,b'Wahsy39',b'20171102030408',0
107,361334,b'Matt Adrian Sugui',b'20171102030848',0
108,361335,b'StSkhizein',b'20171102034832',0
109,361336,b'Kaarikentauri',b'20171102051718',1
110,361337,b'GinkgoBiloba',b'20171102061857',0
111,361338,b'\xe3\x81\x8a\xe8\x8c\xb6063',b'20171102070119',0
112,361339,b'Roopemies',b'20171102072200',2
113,361340,b'Anonyymi666',b'20171102072839',1
114,361341,b'Kusip\xc3\xa4\xc3\xa412234567',b'20171102072944',4
115,361342,b'Juhisssss',b'20171102074001',0
116,361343,b'LaehaPoeka',b'20171102074106',1
117,361344,b'LolSsssssa',b'20171102074131',0
118,361345,b'Kusafioao',b'20171102074147',1
119,361346,b'Raja2949',b'20171102074448',0
120,361347,b'RunawaySheld123',b'20171102082040',0
121,361348,b'UkrainianCossack',b'20171102083021',0
122,361349,b'Internetsoturi',b'20171102083444',5
123,361350,b'Demoltry',b'20171102084536',0
124,361351,b'Chemyt',b'20171102085653',0
125,361352,b'Niivlem',b'20171102085910',0
126,361353,b'Potterfanialien',b'20171102090039',0
127,361354,b'Jessietail',b'20171102090749',0
128,361355,b'A3diet',b'20171102090942',0
129,361356,b'Renamed user a2vv12zt2i',b'20171102093340',58
130,361357,b'Kontrola',b'20171102093706',0
131,361358,b'Alrekr',b'20171102094342',0
132,361359,b'Borisiliev',b'20171102094437',0
133,361360,b'Norskeo',b'20171102095111',0
134,361361,b'Badedition',b'20171102100355',0
135,361362,b'Dikc johnson',b'20171102102813',4
136,361363,b'Girar23',b'20171102104424',0
137,361364,b'Toutou44',b'20171102105535',0
138,361365,b'Xoppocoro',b'20171102110006',0
139,361366,b'Clemens August von Bayern',b'20171102115922',0
140,361367,b'Atsuo fujii',b'20171102120355',0
141,361368,b'Urheilija212',b'20171102123053',3
142,361369,b'Detako',b'20171102124200',0
143,361370,b'Rotgruen777',b'20171102125827',0
144,361371,b'DIREKTOR',b'20171102132824',2
145,361372,b'Turini2',b'20171102133806',0
146,361373,b'Mikko Marjala',b'20171102140843',0
147,361374,b'Rjwalterusa',b'20171102141214',0
148,361375,b'Zauberfl\xc3\xb6te',b'20171102142127',0
149,361376,b'Ocalam',b'20171102144522',1
150,361377,b'Akachkovskiy',b'20171102145508',0
151,361378,b'Koberman227',b'20171102145755',0
152,361379,b'Ghost of USSR',b'20171102151234',0
153,361380,b'Pioranta',b'20171102151911',3
154,361381,b'NootsiX',b'20171102151923',4
155,361382,b'1812john',b'20171102153052',0
156,361383,b'Germien Cox',b'20171102153555',0
157,361384,b'Keminmaanpel\xc3\xa4tyin',b'20171102160827',2
158,361385,b'Miraturpeinen',b'20171102161046',0
159,361386,b'Roguoe1',b'20171102161656',46
160,361387,b'Hypotekus',b'20171102162231',0
161,361388,b'Necont',b'20171102171858',0
162,361389,b'TuaCulpa',b'20171102173026',0
163,361390,b'SheaSandy',b'20171102174302',0
164,361391,b'Salmination',b'20171102181834',0
165,361392,b'Mimbal',b'20171102182951',0
166,361393,b'PaleoNeonate',b'20171102183904',0
167,361394,b'BQUB17-DFierro',b'20171102185548',0
168,361395,b'Ignatiuszorro',b'20171102190830',2
169,361396,b'Felixiversen',b'20171102190833',0
170,361397,b'Raatocg',b'20171102194522',0
171,361398,b'Rlomko',b'20171102195741',0
172,361399,b'Asier Iturralde Sarasola',b'20171102200356',1
173,361400,b'Samiusah',b'20171102200546',0
174,361401,b'Lbratsl',b'20171102200908',0
175,361402,b'Tappajanoita',b'20171102201603',0
176,361403,b'User38479',b'20171102202541',0
177,361404,b'Kraken1968',b'20171102204626',0
178,361405,b'Ktvptf',b'20171102211818',0
179,361406,b'Hammer Records',b'20171102213057',0
180,361407,b'Sebastianfranzen',b'20171102214224',0
181,361408,b'Cmpxchg8b',b'20171102215049',0
182,361409,b'Kekorebeko',b'20171102220520',0
183,361410,b'Ogro666',b'20171102221627',0
184,361411,b'Blsupr',b'20171102225424',0
185,361412,b'Keisau67',b'20171103002438',0
186,361413,b'Whsun808',b'20171103003101',0
187,361414,b'Robbinorion',b'20171103005717',0
188,361415,b'Lazz R',b'20171103012803',0
189,361416,b'Juarensesufu',b'20171103021115',0
190,361417,b'J2188a',b'20171103021228',0
191,361418,b'Hendrickzhang',b'20171103022500',0
192,361419,b'Gm King',b'20171103023336',0
193,361420,b'LOQUACIOUS LOITERER',b'20171103023431',0
194,361421,b'Miaow',b'20171103031847',0
195,361422,b'Carocc',b'20171103031947',0
196,361423,b'Pre-Animation Man',b'20171103033712',0
197,361424,b'Sunsoul1206',b'20171103034228',0
198,361425,b'Ammarpad',b'20171103034412',0
199,361426,b'Pimpsten',b'20171103043718',0
200,361427,b'Wanglilil',b'20171103060556',0
201,361428,b'Melias00',b'20171103062205',0
202,361429,b'SirDani21',b'20171103065258',6
203,361430,b'Nobuck',b'20171103071747',2
204,361431,b'Nekkeeri',b'20171103072954',1
205,361432,b'Maarit L',b'20171103073939',0
206,361433,b'Helvetinperkele',b'20171103080525',0
207,361434,b'Alexico R. Diaz',b'20171103080757',0
208,361435,b'Tiraboschi',b'20171103080804',0
209,361436,b'Tawastjerna56',b'20171103083312',2
210,361437,b'EzyBezy69',b'20171103084324',1
211,361438,b'Paskapersepyly',b'20171103085647',0
212,361439,b'EEAK',b'20171103085933',0
213,361440,b'Lehtu',b'20171103090936',0
214,361441,b'Joel Pitk\xc3\xa4nen',b'20171103091104',1
215,361442,b'Mohamede medhoune',b'20171103092312',0
216,361443,b'Tuomo77',b'20171103094250',0
217,361444,b'Is\xc3\xa4shak',b'20171103100544',1
218,361445,b'\xd9\x84\xd8\xa7\xd9\x84\xd9\x87171',b'20171103110702',0
219,361446,b'Elisabet Kesia',b'20171103111257',4
220,361447,b'Nr54',b'20171103112846',0
221,361448,b'Tietoavain',b'20171103115523',0
222,361449,b'Jsderwin',b'20171103120741',0
223,361450,b'Fouriels',b'20171103121619',0
224,361451,b'AB20046',b'20171103121843',0
225,361452,b'Teamocmo',b'20171103124758',0
226,361453,b'Heptametru',b'20171103133600',0
227,361454,b'Mighty47',b'20171103134229',3
228,361455,b'TohnoYukine',b'20171103135425',0
229,361456,b'H\xc3\xbcseyin Tatl\xc4\xb1ses',b'20171103140235',0
230,361457,b'Jusmukosmu',b'20171103141217',1
231,361458,b'Nakkimakkara666',b'20171103144203',1
232,361459,b'Zxf11',b'20171103144210',0
233,361460,b'Sayed 3333',b'20171103145933',0
234,361461,b'Citadrianne',b'20171103150039',0
235,361462,b'Tamperm1',b'20171103151201',14
236,361463,b'Harnut Vlad',b'20171103155941',0
237,361464,b'Hmva',b'20171103162321',2
238,361465,b'Eetu M\xc3\xa4kel\xc3\xa4',b'20171103162457',0
239,361466,b'TimoLaturi',b'20171103162734',0
240,361467,b'Vulkaaniman5625',b'20171103165431',0
241,361468,b'Piet Bron',b'20171103170013',0
242,361469,b'Seranen',b'20171103172028',0
243,361470,b'Anneli87',b'20171103173337',1
244,361471,b'Sampo290',b'20171103173845',1
245,361472,b'Eem51773',b'20171103174708',0
246,361473,b'BlowJager',b'20171103180515',0
247,361474,b'ConnectingPpl',b'20171103182156',0
248,361475,b'Tapiola9',b'20171103185040',0
249,361476,b'IZMOLAITELA',b'20171103185807',0
250,361477,b'Jonne228769666',b'20171103185915',1
