"","Control","Altruism","Competition","Max Distance"
"1","Mriri","9jaolodo","Wanebanda",0
"2","Ekeoba","Mohamedabdelattif","Abdelkhiar",0
"3","Ruto K","Abed Ayabei","Aliheros96",0
"4","Abro22","FRANCIS NKRUMAH","Vachigunwe",0
"5","Mary chinwiya","AGGREY NASASIRA","Demeryel72",0
"6","Ahmed.campa4412","MduKhanyile","Ngwumartin",0
"7","Akintomiwaao","Alaa Helaly","Natasciasilverio",0
"8","Mohamed roryz","Wesellgold","Akolawole.Shoremi",0
"9","Imanijebii","Sterra on Percussion","Alain976",0
"10","Alex Heskey","Ghalyb24","Priscanawelwa",0
"11","Amadoubakay","Nnoutaa","EslamAdel",0
"12","Amcguire62","Rigan123","OrionBossa",0
"13","Amira Abdelrazek","Dorothy6161","Xolanene",0
"14","AmiraaGbsi","Bissayar","Samuelawis",0
"15","AdedapoX","Amirale Ernest","Rhodaaa",0
"16","Schaulinda","Mohamedosam","Anextro okeke",0
"17","Anoek ds","Wassim Mellali","David jacobs onu",0
"18","Faroukrmt","Medraissi","Anyona933",0
"19","Aromatsuit","Ayoub Migo","SalehMohamedkher",0
"20","Asma1chaffai","MedCher07","Weshho",0
"21","Asmaa ga3frie","Lafimana","Yarrika",0
"22","AustynZOGS","Skyph 18","Lizziefarida",0
"23","Juneakhwale","AymenAlgeria","JanaR123",0
"24","Ayshafii","Enzo d9","Rou5a",0
"25","Lobeliano","Babic nj","Mapsinwanderlust",0
"26","Masseni","Ab salah","Benailla19811",0
"27","Zezeprincess","Betesyergalem","Sunride1980",0
"28","Bmonale","Omotore","Rebel voice",0
"29","Mashallo Samilo","Bogard SEBUSHISHI","Motez slama",0
"30","Brian Jani","Javascripta","Kwini Kuza",0
"31","Aljazeera08","Chiswick Chap","Bullionmc",0
"32","Marinda.Mostert","Weaverlink","Catherinexx",0
"33","Charles.u.charles","Annaclaramontreal","Linekela",0
"34","ProfEfree","ChikoMwamba","Cherinet Banksira",0
"35","Sherryabd","Bile rene","Cherno Amadou",0
"36","Oryang.J","Oussmaspectro","CHIMENE CHALVET",0
"37","Figlio di dio","Chrisrosenk","Sah'nyil",0
"38","Shandwely","ChrissTZ","Moses mzeiey",0
"39","Joshua Black","CiskoBecaye","Erick Vateta",0
"40","Ndunguwanjoroge","Ck3000","Eliudomutanyi",0
"41","Diacksk8","Ifeoluwadebo","Collins Obonyo",0
"42","Cosmodammy","Omar Adel Ragab","Willykamau",0
"43","Mustapha Oumay","Justkc","Dadmugisha",0
"44","Dalizzoo","Adamsetenda","Kikonko",0
"45","Dalyomba","Navigue","AugustusBill",0
"46","Yassersafy","Daoudaloveafrica","Hmo^p",0
"47","Bwanapia","Zevyah","Daoud IV",0
"48","Jhbltn","DEANinitiative","NalyRATOVO",0
"49","Nows92","Bobyphoto","Deon TerBlanche",0
"50","Dija.Sbr.","Kiara Maharaj","Dorivaldo de C. M. dos Santos",0
"51","Holly Wasserfall","DMplusJ","Ekebedi",0
"52","Lazary simba","Z-aourid","Dominicsundar",0
"53","Drminashoky","JulienIsland","Surajmcc02",0
"54","Roland Darko","Xmoncee","Dwighmegon22",0
"55","Amine.elbahij","Eca Nkono","Gerald.karanja",0
"56","Edmond burundi","Obe Images","ElmienJ",0
"57","Elmabetty90","Tshepo Mohlabane","Jekwot",0
"58","Elnanex","Mr.Weke","Tabwoch",0
"59","Amine Abed","Ema El-tokhy","Dariiusmutamba",0
"60","AlekSS3","Wilsonmabel84","Emebiriodo",0
"61","EmmanuelOEmmanuel","Taiwoayanleye","Joshnjiruh",0
"62","Emmanuel Ogabi","DjahiiD","Adebimbo",0
"63","Shhassan123","Skarfmacaronne","Enas El Masry",0
"64","Ensan 00","Fatimahzahra","Walid Hihouka",0
"65","Ephraimkhumalo5","Fkinuthia","Kelby Boateng",0
"66","Er-rady bassma","Boyante","Dennis kithinji",0
"67","ClaraTowett","Esraa abd el khalla","UmmiBee",0
"68","Mahmoud1Ibrahim","Abir Ghorab","Eugene.were",0
"69","Merna Taha98","Isaiah bd","Faceofculturenigeria",0
"70","Simon matheka","Farid Mahmoud Abdin","Karlkouakou",0
"71","Kiruhi","Chouaibse","Fateh Maftah",0
"72","Mwiri Stephen","Fatima Ez-zahra moussafir","Nikitalittle",0
"73","Torahman1","Fikirtadesse","Emadmankousa",0
"74","Andrew Dyege","Galilio2112","Mario zanda",0
"75","Gamil Alsharahi","Abdul Wahab Issifu","Gvmore",0
"76","Rimberiab","Ndzali","Generalsadiki",0
"77","PaolaPileri","GeorgeTrainee","Gok Stylez",0
"78","Gloria nz","JTeessen","Tonyfranck",0
"79","Goldenwriter","AdelGalal","Uvavo",0
"80","Gracakullo","Sally Fouda","Essobe",0
"81","The-UKOLI","Graimmythesoh","Ahmed Albaroudi",0
"82","Hadja Fanta Diabaté","AMADY georgino","Nsetimela",0
"83","Hajar iml","Mairahoto","Floralesta",0
"84","Hakim-agh","Thertbois","Youneshb",0
"85","Hamdanmourad","Zolbook","Nsofor1",0
"86","Drewperez1","Hamed Gamaoun","Dotun55",0
"87","Metalix71","Hardewalex000","Seoganetseng Boeng",0
"88","Hermannkojo","Licelv Mauwa","Sherif217",0
"89","Nghidipohamba","HMUNACHI","Simon maina",0
"90","Wageni's World","HR TOLOTRA","Anasaboshaar",0
"91","Hussein.mcadams","Akosua Agyepong2","NAWANAWA",0
"92","Hyperfocalstudios","Gloeva25o","KalMo",0
"93","Ibou SENE","Etinosaivy","Ahmed Hussien Ahmed",0
"94","Madakiadang","Tpebanee","Idriss Meliani",0
"95","Ima Okyr","Ifeanyi Uzochukwu","Draga1997",0
"96","Mohoseen","IFemora","Lawal sani kona",0
"97","Canaanuman","Thagodfather","Ihabsouey",0
"98","Ire D Stage Devi","Amogunla Femi","Alae-ddine",0
"99","Islam ny","Yeey me","Ibrahimrisho",0
"100","Mackennah00","JDDBOSS","Mariam elsadek",0
"101","Rafic.Mufid","Paronia","Jenifer Dyege",0
"102","JKvanWyk","Shglila","Suleiman Amin",0
"103","Moussaoui amine","Joelkoome","Pdproject",0
"104","Tmaidza","HOCINE MESTOUR","Johnnyawawa",0
"105","Niven A. Nolte","Agbajeisabella","Johnopus2210",0
"106","Fayçal Rezkallah","Pongsapak k","Jonid89",0
"107","JOVINJOSEPHAT","Amineboujrada","DanielTsige",0
"108","Bilal boukaoud","Jr levo","Salah hamad",0
"109","Toumaba","Justicefromafrica","Piet Makwas",0
"110","Merve mashaly","Christine Nyaruiru","Kaouter.rdi",0
"111","Andrew Owuor","Tariq90","Kebel",0
"112","Jotham wambi","Kerminaheneinwely","Osamuyi.okpame",0
"113","Esther Neema","Beljohn Dean","Kevanrules",0
"114","Bersamo","Libertyking","Khawlanada",0
"115","AsmaNasri","KhemmarAMINE","Page Tsewinor",0
"116","Jdannybites","C.hakim93","Kherdioui",0
"117","Miss Lindsey Abudei","Kokofrs","Casey.lugada",0
"118","Timlamec","Manuel Fuca","Kolafunmi",0
"119","Nourhan Moubarak","Drinkup23","Krys g",0
"120","EllyGee","BeghdadiWalid","Kuraruelijah",0
"121","Robert Gumba","Nivademdembele","Landry KINKPE",0
"122","Mustafaelnooby","طه ابوالحجاج عبدالحليم","Lendyll",0
